date,group name,rank,last rank,up down,total messages,Datedifference,"count of the hashtag ""#FIVE""","count of the hashtag ""#FOUR""","count of the hashtag ""#Three""","count of the hashtag ""#SceneType""",score,total titles
2025-08-17,Aften Opal,223,223,0,102,368,1,0,0,1,14.913869462669041,1
2025-08-17,Alecia Fox,224,224,0,179,374,1,0,0,1,14.907796980839283,1
2025-08-17,Evelyn Claire,225,225,0,172,374,1,0,0,1,14.900677371400715,1
2025-08-17,Ambra Dolce,226,224,-2,75,367,1,0,0,1,14.900472809586425,1
2025-08-17,Bree Daniels,227,227,0,71,368,1,0,0,1,14.882339763726812,1
2025-08-17,Andrea Lapiedra,228,228,0,38,368,1,0,0,1,14.84877589065928,1
2025-08-17,Ivy Ireland,229,229,0,211,27,0,1,0,1,14.820793837167653,2
2025-08-17,Naomi Wildman,230,230,0,40,94,0,1,1,0,14.704537209650969,1
2025-08-17,Loli Pop,231,231,0,272,67,0,1,0,1,14.320248243629402,1
2025-08-17,Amy Douxxx,232,232,0,151,65,0,1,0,1,14.225310104266445,1
2025-08-17,Lisa Belys,233,233,0,100,421,1,0,0,1,14.166406315266663,1
2025-08-17,Zlata Shine,234,234,0,205,155,0,1,1,2,14.014410020839556,2
2025-08-17,Melody Mynx,235,235,0,149,82,0,1,0,1,13.984176070788115,1
2025-08-17,Emily Willis,236,236,0,100,434,1,0,0,2,13.983565246349645,3
2025-08-17,Sara Rich,237,237,0,33,431,1,0,0,1,13.957614505978926,1
2025-08-17,Eva Ray,238,238,0,900,145,0,1,0,1,13.861932505473103,1
2025-08-17,Lily Bella,239,239,0,91,94,0,1,0,1,13.75640864984625,1
2025-08-17,Violet Pretty,240,240,0,57,94,0,1,0,1,13.721827689716061,1
2025-08-17,Hot Pearl,241,241,0,81,96,0,1,0,1,13.718108384001722,1
2025-08-17,Nikky Dream,242,242,0,75,97,0,1,0,1,13.697941164016804,1
2025-08-17,Lucy Foxx,243,243,0,173,125,0,1,0,1,13.403804163104716,1
2025-08-17,Beverly Hillson,244,244,0,52,125,0,1,0,1,13.280736628523755,1
2025-08-17,zoebytheriver,245,245,0,43,131,0,1,0,1,13.187194659305874,1
2025-08-17,Alrox,246,246,0,266,152,0,1,0,1,13.118646424488364,2
2025-08-17,River Lynn,247,248,1,109,145,0,1,0,1,13.057416638914924,1
